CollectionDate,State,Subtype
9/2/2012,Minnesota,HxN3
9/18/2013,Minnesota,H3Nx
9/4/2012,Minnesota,H2N3
9/8/2012,Minnesota,H3Nx
9/14/2013,Minnesota,HxNx
9/14/2013,Minnesota,HxNx
9/12/2012,Minnesota,H2N3
9/2/2012,Minnesota,H4N6
9/20/2012,Minnesota,H3N6
9/13/2012,Minnesota,H11N9
9/3/2012,Minnesota,H4N6
9/2/2012,Minnesota,H4N6
9/6/2012,Minnesota,HxN6
9/9/2012,Minnesota,H2N3
9/6/2012,Minnesota,Mixed
9/14/2013,Minnesota,H4Nx
9/18/2013,Minnesota,H4Nx
9/20/2012,Minnesota,H3N3
9/18/2012,Minnesota,H11N9
9/18/2013,Minnesota,H4Nx
9/18/2013,Minnesota,HxNx
9/8/2012,Minnesota,H3N8
9/9/2012,Minnesota,H11N9
9/12/2012,Minnesota,H2Nx
9/18/2013,Minnesota,HxNx
9/14/2013,Minnesota,HxNx
9/14/2013,Minnesota,HxNx
9/18/2013,Minnesota,H3Nx
9/10/2012,Minnesota,H4N6
9/18/2012,Minnesota,H3N8
9/8/2012,Minnesota,H3N8
9/6/2012,Minnesota,H3N8
9/13/2012,Minnesota,H4N6
9/7/2013,Minnesota,H4Nx
9/20/2012,Minnesota,H11N2
9/18/2013,Minnesota,H3Nx
9/18/2013,Minnesota,H3Nx
9/18/2013,Minnesota,H3Nx
9/14/2012,Minnesota,H3N3
9/4/2012,Minnesota,-N/A-
9/3/2012,Minnesota,H4N6
9/14/2012,Minnesota,H11N9
9/14/2013,Minnesota,H4Nx
9/14/2013,Minnesota,HxNx
9/14/2013,Minnesota,HxNx
9/3/2013,Minnesota,H4Nx
9/6/2012,Minnesota,H3N6
9/12/2012,Minnesota,H4N6
9/9/2012,Minnesota,H3Nx
9/18/2013,Minnesota,HxNx
9/18/2013,Minnesota,H3Nx
9/2/2012,Minnesota,H2N3
9/13/2012,Minnesota,H11N9
9/6/2012,Minnesota,H3N8
9/8/2012,Minnesota,H2Nx
9/14/2012,Minnesota,H2N5
9/13/2012,Minnesota,-N/A-
9/5/2012,Minnesota,H4N6
9/14/2012,Minnesota,H3N8
9/14/2013,Minnesota,HxNx
9/12/2012,Minnesota,H11N9
9/18/2013,Minnesota,H3Nx
9/18/2013,Minnesota,HxNx
9/12/2012,Minnesota,H3N8
9/6/2012,Minnesota,H3Nx
9/14/2013,Minnesota,HxNx
9/14/2013,Minnesota,HxNx
9/14/2013,Minnesota,HxNx
9/6/2012,Minnesota,H4Nx
9/18/2013,Minnesota,H11Nx
9/14/2012,Minnesota,H2N3
9/3/2012,Minnesota,H11N9
9/6/2012,Minnesota,H3N6
9/12/2012,Minnesota,H3N8
9/20/2012,Minnesota,H4N6
9/13/2013,Minnesota,HxNx
9/6/2012,Minnesota,H4Nx
8/28/2013,Minnesota,H1Nx
9/3/2012,Minnesota,H4N6
9/11/2012,Minnesota,H5N2
9/12/2012,Minnesota,H12N5
9/6/2012,Minnesota,H4N6
9/6/2012,Minnesota,H4N6
9/6/2012,Minnesota,H1N1
9/4/2012,Minnesota,H2N6
9/10/2012,Minnesota,H11N3
9/20/2012,Minnesota,H1N1
9/2/2012,Minnesota,H4N6
9/18/2013,Minnesota,HxNx
9/12/2012,Minnesota,H2Nx
9/6/2012,Minnesota,HxN6
9/9/2012,Minnesota,H11N9
9/10/2012,Minnesota,H11N3
9/12/2012,Minnesota,H11N9
9/18/2012,Minnesota,H4N6
9/14/2013,Minnesota,HxNx
9/3/2013,Minnesota,H4Nx
9/5/2012,Minnesota,H4N6
9/13/2012,Minnesota,H2N3
9/5/2012,Minnesota,H4N3
9/10/2012,Minnesota,H2N3
9/6/2012,Minnesota,H3N3
9/18/2013,Minnesota,H3Nx
9/18/2013,Minnesota,HxNx
9/18/2013,Minnesota,H3Nx
9/18/2013,Minnesota,H3Nx
9/2/2012,Minnesota,H2N3
9/18/2013,Minnesota,H3Nx
9/18/2013,Minnesota,H3Nx
9/20/2012,Minnesota,H2N2
9/20/2012,Minnesota,H2N6
9/15/2013,Texas,H4Nx
9/18/2013,Texas,H4Nx
9/18/2013,Texas,H4Nx
9/18/2012,Texas,H3N6
9/17/2013,Texas,H4Nx
9/18/2013,Texas,H4Nx
9/15/2013,Texas,H4Nx
9/23/2012,Texas,H9N2
9/21/2013,Louisiana,H3Nx
9/20/2013,Texas,H3Nx
9/16/2013,Texas,H4Nx
9/16/2013,Texas,HxNx
9/24/2012,Texas,H4N6
9/16/2013,Texas,H4Nx
9/17/2013,Texas,H4Nx
9/17/2013,Texas,H4Nx
9/21/2012,Louisiana,H3N8
9/16/2013,Texas,H4Nx
9/16/2012,Texas,Mixed
9/14/2013,Texas,H3Nx
9/16/2013,Texas,HxNx
9/16/2012,Texas,H11N9
9/16/2013,Texas,H4Nx
9/15/2012,Texas,H4N6
9/17/2013,Texas,H4Nx
9/24/2012,Texas,H4N6
9/18/2013,Texas,H4Nx
9/15/2013,Texas,H4Nx
9/17/2013,Texas,H3Nx
9/16/2013,Texas,H4Nx
9/15/2013,Texas,H4Nx
9/15/2013,Texas,H4Nx
9/17/2013,Texas,H4Nx
9/14/2013,Texas,H3Nx
9/19/2012,Texas,H11N6
9/19/2013,Texas,H3Nx
9/15/2013,Texas,H3Nx
9/16/2012,Texas,H3N8
9/20/2013,Texas,H3Nx
9/16/2013,Texas,HxNx
9/17/2013,Texas,H4Nx
9/14/2013,Texas,H3Nx
9/16/2012,Texas,H1N1
9/24/2012,Texas,H4N6
9/14/2013,Texas,H4Nx
9/20/2013,Texas,H3Nx
9/18/2013,Texas,H4Nx
9/16/2012,Texas,H4N2
9/19/2013,Texas,H4Nx
9/14/2013,Texas,H4Nx
9/14/2013,Texas,H3Nx
9/19/2013,Texas,H3Nx
9/15/2012,Texas,H1N1
9/24/2012,Texas,HxN6
9/19/2013,Texas,H4Nx
9/18/2013,Texas,H4Nx
9/18/2013,Texas,H3Nx
9/22/2012,Louisiana,H4N6
9/24/2012,Texas,H3N6
9/17/2013,Texas,H4Nx
9/14/2013,Texas,H3Nx
9/15/2012,Texas,H4N6
9/17/2012,Texas,H3N8
9/16/2013,Texas,H4Nx
9/15/2013,Texas,H4Nx
9/15/2013,Texas,H4Nx
9/24/2012,Texas,H4N6
9/19/2012,Texas,H4N6
9/17/2013,Texas,H3Nx
9/15/2013,Texas,H3Nx
9/17/2013,Texas,HxNx
9/16/2013,Texas,H4Nx
9/16/2012,Texas,H11N9
9/18/2013,Texas,H4Nx
9/22/2012,Louisiana,H4N6
9/14/2013,Texas,H3Nx
9/17/2013,Texas,H4Nx
9/24/2012,Texas,H4N6
9/15/2013,Texas,H4Nx
9/16/2012,Texas,H5N2
9/23/2012,Texas,H4N6
9/23/2012,Texas,H4N3
7/29/2012,Minnesota,H3N8
9/14/2013,Texas,H4Nx
9/17/2013,Texas,H4Nx
9/16/2013,Texas,H4Nx
9/14/2013,Texas,H4Nx
9/16/2013,Texas,H4Nx
9/17/2013,Texas,H3Nx
9/17/2013,Texas,H4Nx
9/16/2012,Texas,H4N6
9/14/2013,Texas,H3Nx
9/15/2013,Texas,H4Nx
9/18/2013,Texas,H3Nx
9/19/2013,Texas,H3Nx
9/14/2013,Texas,H3Nx
9/15/2013,Texas,H4Nx
9/19/2012,Texas,H4N6
9/15/2013,Texas,H3Nx
9/17/2012,Texas,H3N8
9/20/2013,Texas,H3Nx
9/14/2013,Texas,H4Nx
9/23/2012,Texas,H4N8
9/19/2012,Texas,H2N3
9/16/2012,Texas,H3N6
9/16/2012,Texas,H3N8
9/15/2013,Texas,H2Nx
9/19/2012,Texas,H4N6
9/17/2013,Texas,H4Nx
9/16/2013,Texas,HxNx
9/17/2013,Texas,H4Nx
9/18/2012,Texas,H4N6
9/15/2012,Texas,H4N6
9/15/2012,Texas,H4N6
7/29/2012,Minnesota,H10N7
9/20/2013,Texas,H3Nx
9/15/2013,Texas,HxNx
9/20/2013,Texas,H3Nx
9/20/2013,Texas,H4Nx
9/16/2013,Texas,H4Nx
9/16/2012,Texas,H3N6
9/14/2013,Texas,H3Nx
9/9/2012,Minnesota,H11N9
5/25/2012,NewJersey,-N/A-
9/4/2012,Minnesota,H7N3
9/4/2012,Minnesota,H2Nx
9/18/2012,Minnesota,H3Nx
9/4/2012,Minnesota,H7Nx
5/25/2012,NewJersey,-N/A-
9/4/2012,Minnesota,H3Nx
9/4/2012,Minnesota,HxNx
9/4/2012,Minnesota,H7Nx
9/5/2014,Minnesota,H4N6
9/8/2014,Minnesota,H4N6
8/28/2014,Minnesota,H6N1
8/28/2014,Minnesota,H4N6
9/10/2014,Minnesota,-N/A-
9/10/2014,Minnesota,-N/A-
9/4/2014,Minnesota,-N/A-
9/4/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H4N6
9/5/2014,Minnesota,H4N3
9/8/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H6N6
8/28/2014,Minnesota,H4N8
8/28/2014,Minnesota,H4N2
9/8/2014,Minnesota,H4N6
8/28/2014,Minnesota,-N/A-
9/18/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/18/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/17/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/18/2014,Texas,H4N6
9/20/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/17/2014,Texas,-N/A-
9/14/2014,Texas,-N/A-
9/18/2014,Texas,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/16/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/20/2014,Texas,H4N6
9/14/2014,Texas,-N/A-
9/19/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/20/2014,Louisiana,-N/A-
9/17/2014,Louisiana,-N/A-
9/17/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/18/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/18/2014,Louisiana,-N/A-
9/20/2014,Texas,-N/A-
9/17/2014,Louisiana,-N/A-
9/19/2014,Texas,H4N6
9/20/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/17/2014,Louisiana,-N/A-
9/19/2014,Texas,-N/A-
9/17/2014,Texas,-N/A-
9/17/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/14/2014,Texas,-N/A-
9/18/2014,Louisiana,-N/A-
9/19/2014,Texas,-N/A-
9/17/2014,Louisiana,H9N1
9/20/2014,Louisiana,-N/A-
9/17/2014,Louisiana,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/18/2014,Texas,-N/A-
9/13/2014,Louisiana,H6N1
9/13/2014,Louisiana,-N/A-
9/20/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/19/2014,Texas,-N/A-
9/18/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/20/2014,Texas,-N/A-
9/17/2014,Louisiana,-N/A-
9/12/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/17/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/20/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Texas,H3N8
9/17/2014,Texas,H4N6
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/17/2014,Texas,-N/A-
9/19/2014,Texas,H4N6
9/19/2014,Texas,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/17/2014,Texas,H4N6
9/16/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/16/2014,Texas,-N/A-
9/18/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/16/2014,Texas,-N/A-
9/17/2014,Texas,H4N6
9/17/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,H4N6
9/14/2014,Texas,-N/A-
9/17/2014,Texas,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/14/2014,Texas,-N/A-
9/19/2014,Texas,-N/A-
9/16/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/17/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/18/2014,Texas,H4N6
9/14/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/16/2014,Texas,-N/A-
9/16/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/18/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/20/2014,Texas,H4N6
9/16/2014,Texas,-N/A-
9/13/2014,Louisiana,H4N6
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/18/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/17/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/14/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/17/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/18/2014,Louisiana,-N/A-
9/17/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/20/2014,Louisiana,-N/A-
9/18/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/19/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/19/2014,Texas,-N/A-
9/13/2014,Texas,H3N6
9/20/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/19/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/20/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/17/2014,Texas,H4N8
9/13/2014,Texas,-N/A-
9/18/2014,Louisiana,-N/A-
9/17/2014,Louisiana,-N/A-
9/14/2014,Texas,H4N8
9/13/2014,Louisiana,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Texas,-N/A-
9/13/2014,Louisiana,H4N2
9/13/2014,Texas,-N/A-
9/18/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/18/2014,Louisiana,-N/A-
9/14/2014,Texas,H4N6
9/14/2014,Texas,H4N6
9/19/2014,Texas,-N/A-
9/14/2014,Texas,-N/A-
9/13/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/18/2014,Louisiana,-N/A-
9/13/2014,Louisiana,-N/A-
9/20/2014,Texas,-N/A-
9/19/2014,Louisiana,-N/A-
9/18/2014,Texas,-N/A-
9/16/2014,Texas,-N/A-
9/18/2014,Louisiana,-N/A-
9/18/2014,Texas,-N/A-
9/18/2014,Texas,H4N6
9/20/2014,Louisiana,-N/A-
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N1
9/4/2014,Minnesota,H4N6
9/10/2014,Minnesota,-N/A-
8/28/2014,Minnesota,-N/A-
9/5/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H6N1
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
9/10/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,H3N8
8/28/2014,Minnesota,H4N6
9/5/2014,Minnesota,H3N8
9/10/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H3N8
8/28/2014,Minnesota,-N/A-
9/4/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H4N6
9/5/2014,Minnesota,-N/A-
9/13/2014,Minnesota,H1N1
9/10/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H1N1
8/28/2014,Minnesota,H4N6
9/8/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H1N3
8/28/2014,Minnesota,Mixed
8/28/2014,Minnesota,H6N1
8/28/2014,Minnesota,-N/A-
9/10/2014,Minnesota,-N/A-
9/10/2014,Minnesota,H4N6
9/5/2014,Minnesota,H3N8
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H1N8
9/4/2014,Minnesota,-N/A-
9/10/2014,Minnesota,-N/A-
9/8/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H4N6
8/28/2014,Minnesota,H3N1
8/28/2014,Minnesota,H3N2
8/28/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/10/2014,Minnesota,-N/A-
9/5/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H6N1
9/8/2014,Minnesota,-N/A-
9/4/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H3N8
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H4N6
9/8/2014,Minnesota,-N/A-
9/13/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H3N6
9/4/2014,Minnesota,H4N6
9/5/2014,Minnesota,H4N6
9/4/2014,Minnesota,-N/A-
8/28/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H8N4
9/13/2014,Minnesota,H4N6
9/5/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H1N1
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
9/5/2014,Minnesota,H4N6
8/28/2014,Minnesota,-N/A-
9/5/2014,Minnesota,-N/A-
9/4/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,H3N8
9/13/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/5/2014,Minnesota,H3N8
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H6N8
9/10/2014,Minnesota,-N/A-
9/10/2014,Minnesota,-N/A-
8/28/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N2
9/4/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H3N8
9/8/2014,Minnesota,H2N3
8/28/2014,Minnesota,H3N8
8/28/2014,Minnesota,Mixed
8/28/2014,Minnesota,H3N6
9/5/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H4N6
9/13/2014,Minnesota,H3N2
9/4/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N8
9/4/2014,Minnesota,H4N6
9/10/2014,Minnesota,H3N1
9/13/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H1N1
9/10/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H4N6
9/8/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,H4N6
9/4/2014,Minnesota,-N/A-
9/13/2014,Minnesota,H4N6
9/5/2014,Minnesota,H4N6
9/10/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H3N8
9/5/2014,Minnesota,H2N3
9/10/2014,Minnesota,H2N5
9/4/2014,Minnesota,H4N8
9/10/2014,Minnesota,-N/A-
9/8/2014,Minnesota,H4N1
9/5/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H3N8
9/4/2014,Minnesota,H2N3
9/13/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,-N/A-
9/5/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H6N1
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
9/10/2014,Minnesota,-N/A-
9/10/2014,Minnesota,H3N1
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,-N/A-
9/5/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N2
9/13/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H3N8
9/5/2014,Minnesota,H4N6
9/4/2014,Minnesota,H4N6
9/4/2014,Minnesota,H4N8
9/4/2014,Minnesota,H1N1
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H3N8
9/4/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H4N6
8/28/2014,Minnesota,Mixed
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/5/2014,Minnesota,H4N8
9/4/2014,Minnesota,H1N6
9/10/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,H3N8
9/5/2014,Minnesota,H4N6
9/4/2014,Minnesota,H3N8
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,H3N6
9/10/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H6N6
9/5/2014,Minnesota,H6N1
9/4/2014,Minnesota,H4N6
9/4/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H2N3
9/4/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H1N1
9/5/2014,Minnesota,-N/A-
9/5/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H6N1
9/5/2014,Minnesota,H4N5
8/28/2014,Minnesota,H4N2
9/10/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/13/2014,Minnesota,-N/A-
9/5/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
9/10/2014,Minnesota,H4N6
8/28/2014,Minnesota,H3N6
8/28/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N1
9/8/2014,Minnesota,H3N5
9/5/2014,Minnesota,H4N6
9/4/2014,Minnesota,H4N6
9/13/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
9/10/2014,Minnesota,-N/A-
9/5/2014,Minnesota,H2N6
9/5/2014,Minnesota,H3N8
9/10/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N1
8/28/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H4N6
9/4/2014,Minnesota,H4N6
9/4/2014,Minnesota,H3N8
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
9/10/2014,Minnesota,H4N8
9/13/2014,Minnesota,H4N2
9/10/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H3N1
9/5/2014,Minnesota,H4N6
9/4/2014,Minnesota,H3N6
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H4N6
9/4/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,H3N8
9/5/2014,Minnesota,H1N1
9/10/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H4N8
9/4/2014,Minnesota,H1N5
8/28/2014,Minnesota,H4N6
8/28/2014,Minnesota,-N/A-
9/10/2014,Minnesota,-N/A-
9/4/2014,Minnesota,H4N6
9/5/2014,Minnesota,-N/A-
9/10/2014,Minnesota,-N/A-
8/28/2014,Minnesota,H3N1
9/4/2014,Minnesota,-N/A-
9/5/2014,Minnesota,-N/A-
9/4/2014,Minnesota,-N/A-
